job_type: PodType.HEAVY | pod_status: PodStatus.ACTIVE
job_type: PodType.MEDIUM | pod_status: PodStatus.ACTIVE
job_type: PodType.LIGHT | pod_status: PodStatus.ACTIVE
job_type: PodType.HEAVY | num_nodes: 1
job_type: PodType.HEAVY | num_nodes: 2
job_type: PodType.HEAVY | num_nodes: 3
job_type: PodType.HEAVY | num_nodes: 4
job_type: PodType.HEAVY | num_nodes: 5
job_type: heavy | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 21:35:51.161358 | response_time: 156.134806
job_type: heavy | throughput: 0.006404721827367564 | total_requests: 1 | total_response_time: 156.134806
job_type: heavy | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 21:36:21.168812 | response_time: 275.377284
job_type: heavy | throughput: 0.0036313815920996596 | total_requests: 1 | total_response_time: 275.377284
job_type: heavy | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 21:36:51.159232 | response_time: 319.267422
job_type: heavy | throughput: 0.003132170497495983 | total_requests: 1 | total_response_time: 319.267422
job_type: heavy | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 21:37:21.159235 | response_time: 339.48309
job_type: heavy | throughput: 0.002945654818918963 | total_requests: 1 | total_response_time: 339.48309
job_type: heavy | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 21:37:51.159304 | response_time: 347.363339
job_type: heavy | throughput: 0.002878829996506914 | total_requests: 1 | total_response_time: 347.363339
job_type: heavy | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 21:38:21.159256 | response_time: 354.610474
job_type: heavy | throughput: 0.002819995666569059 | total_requests: 1 | total_response_time: 354.610474
job_type: heavy | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 21:38:51.160515 | response_time: 470.880068
job_type: heavy | throughput: 0.0021236830096618147 | total_requests: 1 | total_response_time: 470.880068
job_type: heavy | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 21:39:21.159219 | response_time: 500.075588
job_type: heavy | throughput: 0.001999697693701457 | total_requests: 1 | total_response_time: 500.075588
job_type: heavy | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 21:39:51.155947 | response_time: 500.034666
job_type: heavy | throughput: 0.001999861345613186 | total_requests: 1 | total_response_time: 500.034666
job_type: heavy | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 21:40:21.156311 | response_time: 485.834524
job_type: heavy | throughput: 0.002058313994993077 | total_requests: 1 | total_response_time: 485.834524
