job_type: PodType.HEAVY | pod_status: PodStatus.ACTIVE
job_type: PodType.MEDIUM | pod_status: PodStatus.ACTIVE
job_type: PodType.LIGHT | pod_status: PodStatus.ACTIVE
job_type: PodType.LIGHT | num_nodes: 1
job_type: PodType.LIGHT | num_nodes: 2
job_type: PodType.LIGHT | num_nodes: 3
job_type: PodType.LIGHT | num_nodes: 4
job_type: PodType.LIGHT | num_nodes: 5
job_type: PodType.LIGHT | num_nodes: 6
job_type: PodType.LIGHT | num_nodes: 7
job_type: PodType.LIGHT | num_nodes: 8
job_type: PodType.LIGHT | num_nodes: 9
job_type: PodType.LIGHT | num_nodes: 10
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.001281 | response_time: 0.110003
job_type: light | throughput: 9.090661163786441 | total_requests: 1 | total_response_time: 0.110003
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.011815 | response_time: 0.106048
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.021040 | response_time: 0.105258
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.030937 | response_time: 0.105101
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.040922 | response_time: 0.104983
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.050861 | response_time: 0.104793
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.061331 | response_time: 0.104983
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.071494 | response_time: 0.105769
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.080735 | response_time: 0.104949
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.090810 | response_time: 0.104793
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.100907 | response_time: 0.112456
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.113615 | response_time: 0.108298
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.120969 | response_time: 0.106349
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.130711 | response_time: 0.10653
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.140710 | response_time: 0.106637
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.150697 | response_time: 0.106147
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.160616 | response_time: 0.106962
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.170567 | response_time: 0.108104
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.180720 | response_time: 0.106546
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.190583 | response_time: 0.106464
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.200557 | response_time: 0.113971
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.210722 | response_time: 0.109998
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.224373 | response_time: 0.108032
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.230978 | response_time: 0.108049
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.240864 | response_time: 0.108263
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.250794 | response_time: 0.107505
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.260735 | response_time: 0.108086
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.270508 | response_time: 0.109346
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.283235 | response_time: 0.111662
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.291881 | response_time: 0.106519
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.300634 | response_time: 0.115497
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.310933 | response_time: 0.111164
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.322347 | response_time: 0.113112
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.332029 | response_time: 0.108487
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.341075 | response_time: 0.109143
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.351736 | response_time: 0.108004
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.360983 | response_time: 0.110416
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.371525 | response_time: 0.11092
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.381436 | response_time: 0.114742
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.390769 | response_time: 0.108897
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.401077 | response_time: 0.116362
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.410924 | response_time: 0.113185
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.420607 | response_time: 0.116941
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.430680 | response_time: 0.112343
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.441900 | response_time: 0.109707
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.451660 | response_time: 0.110196
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.461260 | response_time: 0.111874
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.472748 | response_time: 0.110068
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.481698 | response_time: 0.11587
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.490904 | response_time: 0.11033
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.501124 | response_time: 0.117704
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.510662 | response_time: 0.114622
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.520624 | response_time: 0.11996
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.531005 | response_time: 0.113108
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.544523 | response_time: 0.108344
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.552940 | response_time: 0.109799
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.563216 | response_time: 0.110897
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.570844 | response_time: 0.11163
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.580854 | response_time: 0.117923
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.591074 | response_time: 0.111831
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.602911 | response_time: 0.118409
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.610749 | response_time: 0.115412
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.621278 | response_time: 0.121571
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.631595 | response_time: 0.11391
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:44:52.643598 | response_time: 0.110939
