job_type: PodType.HEAVY | pod_status: PodStatus.ACTIVE
job_type: PodType.MEDIUM | pod_status: PodStatus.ACTIVE
job_type: PodType.LIGHT | pod_status: PodStatus.ACTIVE
job_type: PodType.LIGHT | num_nodes: 1
job_type: PodType.LIGHT | num_nodes: 2
job_type: PodType.LIGHT | num_nodes: 3
job_type: PodType.LIGHT | num_nodes: 4
job_type: PodType.LIGHT | num_nodes: 5
job_type: PodType.LIGHT | num_nodes: 6
job_type: PodType.LIGHT | num_nodes: 7
job_type: PodType.LIGHT | num_nodes: 8
job_type: PodType.LIGHT | num_nodes: 9
job_type: PodType.LIGHT | num_nodes: 10
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:45.902513 | response_time: 0.10992
job_type: light | throughput: 9.097525473071324 | total_requests: 1 | total_response_time: 0.10992
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:45.922047 | response_time: 0.106344
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:45.912987 | response_time: 0.200928
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:45.932214 | response_time: 0.196989
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:45.952145 | response_time: 0.262933
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:45.942239 | response_time: 0.287687
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:45.962166 | response_time: 0.353266
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:45.972140 | response_time: 0.35933
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:45.982711 | response_time: 0.433385
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:45.992416 | response_time: 0.4408
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:46.002903 | response_time: 0.518225
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:46.022248 | response_time: 0.515915
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:46.015173 | response_time: 0.611236
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:46.052109 | response_time: 0.586516
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:46.031969 | response_time: 0.695271
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:46.062114 | response_time: 0.677507
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:46.045242 | response_time: 0.782946
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:46.072106 | response_time: 0.768393
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:46.091936 | response_time: 0.837037
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:46.082010 | response_time: 0.859332
job_type: light | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 17:53:46.122538 | response_time: 0.907398
