job_type: PodType.HEAVY | pod_status: PodStatus.ACTIVE
job_type: PodType.MEDIUM | pod_status: PodStatus.ACTIVE
job_type: PodType.LIGHT | pod_status: PodStatus.ACTIVE
job_type: PodType.MEDIUM | num_nodes: 1
job_type: PodType.MEDIUM | num_nodes: 2
job_type: PodType.MEDIUM | num_nodes: 3
job_type: PodType.MEDIUM | num_nodes: 4
job_type: PodType.MEDIUM | num_nodes: 5
job_type: PodType.MEDIUM | num_nodes: 6
job_type: PodType.MEDIUM | num_nodes: 7
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:28:11.104090 | response_time: 12.617591
job_type: medium | throughput: 0.07925443137283496 | total_requests: 1 | total_response_time: 12.617591
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:28:21.105130 | response_time: 20.104545
job_type: medium | throughput: 0.04973999660275823 | total_requests: 1 | total_response_time: 20.104545
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:28:31.103343 | response_time: 17.413391
job_type: medium | throughput: 0.05742706862781637 | total_requests: 1 | total_response_time: 17.413391
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:28:41.104125 | response_time: 19.797235
job_type: medium | throughput: 0.050512104341843694 | total_requests: 1 | total_response_time: 19.797235
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:28:51.104251 | response_time: 34.283195
job_type: medium | throughput: 0.029168809966515667 | total_requests: 1 | total_response_time: 34.283195
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:29:01.104097 | response_time: 24.986021
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:29:21.104008 | response_time: 28.922922
job_type: medium | throughput: 0.03709959588708686 | total_requests: 2 | total_response_time: 53.908943
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:29:11.103973 | response_time: 39.83262
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:29:41.104106 | response_time: 33.584589
job_type: medium | throughput: 0.02724156947998391 | total_requests: 2 | total_response_time: 73.417209
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:29:31.103977 | response_time: 44.745785
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:30:01.103903 | response_time: 38.330437
job_type: medium | throughput: 0.024074277234224735 | total_requests: 2 | total_response_time: 83.076222
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:29:51.103954 | response_time: 49.742912
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:30:11.104361 | response_time: 50.002759
job_type: medium | throughput: 0.020050995496335877 | total_requests: 2 | total_response_time: 99.74567099999999
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:30:21.104091 | response_time: 44.726753
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:30:31.103970 | response_time: 50.00306
job_type: medium | throughput: 0.021112677589683406 | total_requests: 2 | total_response_time: 94.72981300000001
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:30:41.103979 | response_time: 47.679604
job_type: medium | throughput: 0.02097332855365158 | total_requests: 1 | total_response_time: 47.679604
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:30:51.104148 | response_time: 50.004565
job_type: medium | throughput: 0.01999817416669858 | total_requests: 1 | total_response_time: 50.004565
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:31:01.104040 | response_time: 50.003286
job_type: medium | throughput: 0.01999868568637669 | total_requests: 1 | total_response_time: 50.003286
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:31:11.104366 | response_time: 44.682133
job_type: medium | client_host: 10.140.17.114 | request_arrival_time: 2023-03-24 13:31:21.104276 | response_time: 50.004718
job_type: medium | throughput: 0.0211222569858195 | total_requests: 2 | total_response_time: 94.68685099999999
